port,cumulated_tonnage_in_region,cumulated_tonnage_out_region,nb_portic_flows_taken_into_account
Sables d' Olonne,530,3698,96
Le Chateau [d' Oléron],308,283,47
Saint Michel en l' Herm,85,192,16
Noirmoutier,230,8565,133
Saint Denis [d' Oléron],159,623,35
La Rochelle,9014,32626,505
Talmont [Talmont Saint Hilaire],87,105,8
Beauvoir-sur-Mer,105,1847,58
La Tranche sur Mer,220,150,22
Ars en Ré,462,21886,200
Esnandes,28,0,1
La Tremblade,32,0,1
Rochefort,8366,13939,309
Marennes,3480,42161,571
Ribérou [Saujon],513,870,70
La Flotte en Ré,1475,1891,117
Mortagne,51,297,10
Le Havre,23438,106901,1057
Moricq,766,398,40
Royan,225,35,14
Soubise,365,662,24
La Perrotine,251,732,48
Saint Martin de Ré,3075,8102,256
Bordeaux,2690,189991,1412
Champagné-les-Marais,78,0,2
Aligre de Marans,2216,3873,190
Charente,3367,12330,285
Nantes,15404,81178,894
Saint Gilles sur Vie,89,2750,70
